"Story","Title","Result","Date","Stability","Duration (s)"
"To Validate the Sanity Tests for SDK Application","To Validate the Book Mark","FAILURE","2024-08-19T12:29:58.012+10:00","0.0","0.11"
"To Validate the Sanity Tests for SDK Application","To Validate the Circuit Reserve Tag","FAILURE","2024-08-19T12:35:03.012+10:00","0.0","3.55"
"To Validate the Sanity Tests for SDK Application","To Validate the Find Table","FAILURE","2024-08-19T12:32:48.263+10:00","0.0","2.92"
"To Validate the Sanity Tests for SDK Application","To Validate the Rf Levels from Main Menu","FAILURE","2024-08-19T12:11:31.686+10:00","0.0","0.08"
"To Validate the Sanity Tests for SDK Application","To Validate the Rf power Trace Report","FAILURE","2024-08-19T12:11:22.543+10:00","0.0","0.02"
"To Validate the Sanity Tests for SDK Application","To Validate the SpatialFilter","FAILURE","2024-08-19T12:33:11.056+10:00","0.0","2.41"
"To Validate the Sanity Tests for SDK Application","To validate the Drawings tab","FAILURE","2024-08-19T11:40:33.194+10:00","0.0","2.95"
"To Validate the Sanity Tests for SDK Application","To validate the LogOut icon","FAILURE","2024-08-19T12:13:48.166+10:00","0.0","9.84"
"To Validate the Sanity Tests for SDK Application","To validate the Search","FAILURE","2024-08-19T12:26:40.671+10:00","0.0","2.06"
"To Validate the Sanity Tests for SDK Application","To validate the WMTS","FAILURE","2024-08-19T12:26:51.846+10:00","0.0","0.02"
