"Story","Title","Result","Date","Stability","Duration (s)"
"To Validate the Smoke Tests for SDK Application","To Validate the Blown Fiber Schematic Report from Report Manager","SUCCESS","2024-08-20T11:33:32.160+10:00","0.0","139.39"
"To Validate the Smoke Tests for SDK Application","To Validate the Boundary Address Report from Report Manager","SUCCESS","2024-08-20T11:35:51.643+10:00","0.0","133.9"
"To Validate the Smoke Tests for SDK Application","To Validate the Class Diagram Report from Report Manager","SUCCESS","2024-08-20T11:40:19.835+10:00","0.0","133.66"
"To Validate the Smoke Tests for SDK Application","To Validate the Equipment Report from Report Manager","SUCCESS","2024-08-20T11:21:47.010+10:00","0.0","139.74"
"To Validate the Smoke Tests for SDK Application","To Validate the Home Passed Report from Report Manager","SUCCESS","2024-08-20T11:38:05.633+10:00","0.0","134.1"
"To Validate the Smoke Tests for SDK Application","To Validate the OSM and GOOGLE Place","SUCCESS","2024-08-20T11:54:36.746+10:00","0.0","39.43"
"To Validate the Smoke Tests for SDK Application","To Validate the OTDR Report from Report Manager","SUCCESS","2024-08-20T11:44:58.877+10:00","0.0","150.69"
"To Validate the Smoke Tests for SDK Application","To Validate the Previous View and Next View","SUCCESS","2024-08-20T11:51:18.331+10:00","0.0","35.6"
"To Validate the Smoke Tests for SDK Application","To Validate the Query Report from Report Manager","SUCCESS","2024-08-20T11:42:33.599+10:00","0.0","145.17"
"To Validate the Smoke Tests for SDK Application","To Validate the Rf Power Trace Diagram from Report Manager","SUCCESS","2024-08-20T11:19:32.957+10:00","0.0","133.96"
"To Validate the Smoke Tests for SDK Application","To Validate the Set Master Circuit on Fibers","SUCCESS","2024-08-20T11:52:31.196+10:00","0.0","88.37"
"To Validate the Smoke Tests for SDK Application","To Validate the Splice Connection Report from Report Manager","SUCCESS","2024-08-20T11:17:22.579+10:00","0.0","129.47"
"To Validate the Smoke Tests for SDK Application","To Validate the Splice Tray Report from Report Manager","SUCCESS","2024-08-20T11:24:06.811+10:00","0.0","128.86"
"To Validate the Smoke Tests for SDK Application","To Validate the Trace Report from Report Manager","SUCCESS","2024-08-20T11:26:15.745+10:00","0.0","145.31"
"To Validate the Smoke Tests for SDK Application","To Validate the Trace Schematic Report from Report Manager","SUCCESS","2024-08-20T11:28:41.151+10:00","0.0","145.51"
"To Validate the Smoke Tests for SDK Application","To Validate the Trace Summary Report from Report Manager","SUCCESS","2024-08-20T11:31:06.769+10:00","0.0","145.29"
"To Validate the Smoke Tests for SDK Application","To test the Login functionality of SDK","SUCCESS","2024-08-20T11:57:40.145+10:00","0.0","34.43"
"To Validate the Smoke Tests for SDK Application","Validating Theming for Graduated","SUCCESS","2024-08-20T11:55:53.386+10:00","0.0","103.35"
"To Validate the Smoke Tests for SDK Application","Validating Theming for Rules","SUCCESS","2024-08-06T12:05:28.502+10:00","0.0","65.91"
