"Story","Title","Result","Date","Stability","Duration (s)"
"To Validate the Sanity Tests for SDK Application","To Create the KML Layer and validate the layer is created","ERROR","2024-08-20T06:37:05.601+10:00","0.0","61.03"
"To Validate the Sanity Tests for SDK Application","To Create the KMZ Layer and validate the layer is created","SUCCESS","2024-08-20T06:38:06.726+10:00","0.0","79.89"
"To Validate the Sanity Tests for SDK Application","To Create the XYZ Layer and validate the layer is created","SUCCESS","2024-08-20T06:35:54.678+10:00","0.0","70.86"
"To Validate the Sanity Tests for SDK Application","To Validate the Base Layers Tab","SUCCESS","2024-08-20T06:39:26.736+10:00","0.0","187.75"
"To Validate the Sanity Tests for SDK Application","To Validate the Book Mark","SUCCESS","2024-08-20T07:10:13.986+10:00","0.0","58.47"
"To Validate the Sanity Tests for SDK Application","To Validate the Circuit Reserve Tag","ERROR","2024-08-19T07:14:04.806+10:00","0.0","92.61"
"To Validate the Sanity Tests for SDK Application","To Validate the Find Table","SUCCESS","2024-08-20T07:11:49.305+10:00","0.0","95.92"
"To Validate the Sanity Tests for SDK Application","To Validate the MAIN MenuBar Content","ERROR","2024-08-20T06:31:03.465+10:00","0.0","204.31"
"To Validate the Sanity Tests for SDK Application","To Validate the Rf Levels from Main Menu","SUCCESS","2024-08-20T06:52:56.559+10:00","0.0","91.56"
"To Validate the Sanity Tests for SDK Application","To Validate the Rf Power from Main Menu","SUCCESS","2024-08-20T06:49:48.333+10:00","0.0","144.31"
"To Validate the Sanity Tests for SDK Application","To Validate the Rf power Trace Report","SUCCESS","2024-08-20T06:52:12.779+10:00","0.0","43.65"
"To Validate the Sanity Tests for SDK Application","To Validate the SpatialFilter","ERROR","2024-08-20T07:13:25.403+10:00","0.0","118.57"
"To Validate the Sanity Tests for SDK Application","To Validate the SpatialOffice with the URl to search with address","SUCCESS","2024-08-19T07:15:37.564+10:00","0.0","69.38"
"To Validate the Sanity Tests for SDK Application","To Validate the Splicing","ERROR","2024-08-20T06:54:28.196+10:00","0.0","120.23"
"To Validate the Sanity Tests for SDK Application","To Validate the ToolBar","SUCCESS","2024-08-20T06:34:27.937+10:00","0.0","86.69"
"To Validate the Sanity Tests for SDK Application","To Validate the Trace from Main Menu","ERROR","2024-08-20T06:46:59.268+10:00","0.0","168.93"
"To Validate the Sanity Tests for SDK Application","To test the Login functionality of SDK","SUCCESS","2024-08-20T07:11:15.073+10:00","0.0","34.17"
"To Validate the Sanity Tests for SDK Application","To validate the Address List Report","SUCCESS","2024-08-20T07:03:28.591+10:00","0.0","141.3"
"To Validate the Sanity Tests for SDK Application","To validate the Drawings tab","SUCCESS","2024-08-20T06:45:49.038+10:00","0.0","70.11"
"To Validate the Sanity Tests for SDK Application","To validate the Equipment Report from Reports Dropdown","SUCCESS","2024-08-20T07:01:08.516+10:00","0.0","139.93"
"To Validate the Sanity Tests for SDK Application","To validate the Home Passed Report from Reports Dropdown","SUCCESS","2024-08-20T07:05:50.054+10:00","0.0","140.87"
"To Validate the Sanity Tests for SDK Application","To validate the Jobs Tab,Search and Details","SUCCESS","2024-08-20T06:42:34.610+10:00","0.0","160.16"
"To Validate the Sanity Tests for SDK Application","To validate the LogOut icon","SUCCESS","2024-08-20T07:11:12.617+10:00","0.0","2.38"
"To Validate the Sanity Tests for SDK Application","To validate the Search","SUCCESS","2024-08-20T07:08:45.566+10:00","0.0","37.79"
"To Validate the Sanity Tests for SDK Application","To validate the Splice Report from Reports Dropdown","SUCCESS","2024-08-20T06:58:30.165+10:00","0.0","158.21"
"To Validate the Sanity Tests for SDK Application","To validate the Trace Report from Reports Dropdown","SUCCESS","2024-08-20T06:56:31.082+10:00","0.0","118.95"
"To Validate the Sanity Tests for SDK Application","To validate the WMTS","SUCCESS","2024-08-20T07:09:23.503+10:00","0.0","12.61"
