"Story","Title","Result","Date","Stability","Duration (s)"
"To Validate the Sanity Tests for SDK Application","To Validate the Book Mark","FAILURE","2024-08-15T07:11:36.741+10:00","0.0","0.08"
"To Validate the Sanity Tests for SDK Application","To Validate the Circuit Reserve Tag","FAILURE","2024-08-15T07:14:26.615+10:00","0.0","0.02"
"To Validate the Sanity Tests for SDK Application","To Validate the Find Table","FAILURE","2024-08-15T07:13:32.296+10:00","0.0","0.17"
"To Validate the Sanity Tests for SDK Application","To Validate the Rf Levels from Main Menu","FAILURE","2024-08-15T06:58:53.980+10:00","0.0","0.05"
"To Validate the Sanity Tests for SDK Application","To Validate the Rf power Trace Report","FAILURE","2024-08-15T06:58:46.581+10:00","0.0","1.3"
"To Validate the Sanity Tests for SDK Application","To Validate the SpatialFilter","FAILURE","2024-08-15T07:13:36.125+10:00","0.0","0.03"
"To Validate the Sanity Tests for SDK Application","To validate the Drawings tab","FAILURE","2024-08-15T06:55:12.034+10:00","0.0","3.02"
"To Validate the Sanity Tests for SDK Application","To validate the LogOut icon","FAILURE","2024-08-15T07:01:05.131+10:00","0.0","0.05"
"To Validate the Sanity Tests for SDK Application","To validate the Search","FAILURE","2024-08-15T07:09:14.555+10:00","0.0","0.15"
"To Validate the Sanity Tests for SDK Application","To validate the WMTS","FAILURE","2024-08-15T07:09:25.165+10:00","0.0","0.36"
