"Story","Title","Result","Date","Stability","Duration (s)"
"To Validate the Sanity Tests for SDK Application","To Create the KML Layer and validate the layer is created","ERROR","2024-08-20T10:36:07.414+10:00","0.0","60.18"
"To Validate the Sanity Tests for SDK Application","To Create the KML Layer and validate the layer is created","ERROR","2024-08-20T06:37:05.601+10:00","0.0","61.03"
"To Validate the Sanity Tests for SDK Application","To Validate the Circuit Reserve Tag","ERROR","2024-08-20T11:14:27.598+10:00","0.0","87.34"
"To Validate the Sanity Tests for SDK Application","To Validate the Circuit Reserve Tag","ERROR","2024-08-19T07:14:04.806+10:00","0.0","92.61"
"To Validate the Sanity Tests for SDK Application","To Validate the MAIN MenuBar Content","ERROR","2024-08-20T06:31:03.465+10:00","0.0","204.31"
"To Validate the Sanity Tests for SDK Application","To Validate the SpatialFilter","ERROR","2024-08-20T07:13:25.403+10:00","0.0","118.57"
"To Validate the Sanity Tests for SDK Application","To Validate the SpatialFilter","ERROR","2024-08-20T11:11:55.536+10:00","0.0","117.92"
"To Validate the Sanity Tests for SDK Application","To Validate the Splicing","ERROR","2024-08-20T06:54:28.196+10:00","0.0","120.23"
"To Validate the Sanity Tests for SDK Application","To Validate the Splicing","ERROR","2024-08-20T10:53:11.358+10:00","0.0","118.58"
"To Validate the Sanity Tests for SDK Application","To Validate the Trace from Main Menu","ERROR","2024-08-20T06:46:59.268+10:00","0.0","168.93"
"To Validate the Sanity Tests for SDK Application","To Validate the Trace from Main Menu","ERROR","2024-08-20T10:45:51.532+10:00","0.0","164.28"
