"Story","Title","Result","Date","Stability","Duration (s)"
"To Validate the Smoke Tests for SDK Application","To Validate the Blown Fiber Schematic Report from Report Manager","ERROR","2024-08-20T07:35:30.150+10:00","0.0","88.93"
"To Validate the Smoke Tests for SDK Application","To Validate the Clear Option","ERROR","2024-08-20T07:52:02.976+10:00","0.0","6.81"
"To Validate the Smoke Tests for SDK Application","To Validate the Clear Option","ERROR","2024-08-20T11:50:35.359+10:00","0.0","6.74"
"To Validate the Smoke Tests for SDK Application","To Validate the Go to Location","ERROR","2024-08-20T11:48:53.128+10:00","0.0","24.34"
"To Validate the Smoke Tests for SDK Application","To Validate the Go to Location","ERROR","2024-08-20T07:50:18.728+10:00","0.0","24.52"
"To Validate the Smoke Tests for SDK Application","To Validate the Ruler","ERROR","2024-08-20T11:48:02.802+10:00","0.0","50.1"
"To Validate the Smoke Tests for SDK Application","To Validate the Ruler","ERROR","2024-08-20T07:49:28.376+10:00","0.0","50.16"
"To Validate the Smoke Tests for SDK Application","To Validate the Share","ERROR","2024-08-20T07:51:19.554+10:00","0.0","43.34"
"To Validate the Smoke Tests for SDK Application","To Validate the Share","ERROR","2024-08-20T11:49:51.951+10:00","0.0","43.25"
"To Validate the Smoke Tests for SDK Application","To validate the LogOut icon","ERROR","2024-08-20T12:00:12.821+10:00","0.0","1.99"
"To Validate the Smoke Tests for SDK Application","Validating Theming for Graduated(Range)","ERROR","2024-08-20T11:58:14.639+10:00","0.0","118.1"
