"Story","Title","Result","Date","Stability","Duration (s)"
"To Validate the Sanity Tests for SDK Application","To Create the KML Layer and validate the layer is created","ERROR","2024-08-20T10:36:07.414+10:00","0.0","60.18"
"To Validate the Sanity Tests for SDK Application","To Create the KML Layer and validate the layer is created","ERROR","2024-08-20T06:37:05.601+10:00","0.0","61.03"
"To Validate the Smoke Tests for SDK Application","To Validate the Blown Fiber Schematic Report from Report Manager","ERROR","2024-08-20T07:35:30.150+10:00","0.0","88.93"
"To Validate the Sanity Tests for SDK Application","To Validate the Circuit Reserve Tag","ERROR","2024-08-20T11:14:27.598+10:00","0.0","87.34"
"To Validate the Sanity Tests for SDK Application","To Validate the Circuit Reserve Tag","ERROR","2024-08-19T07:14:04.806+10:00","0.0","92.61"
"To Validate the Smoke Tests for SDK Application","To Validate the Clear Option","ERROR","2024-08-20T07:52:02.976+10:00","0.0","6.81"
"To Validate the Smoke Tests for SDK Application","To Validate the Clear Option","ERROR","2024-08-20T11:50:35.359+10:00","0.0","6.74"
"To Validate the Smoke Tests for SDK Application","To Validate the Go to Location","ERROR","2024-08-20T11:48:53.128+10:00","0.0","24.34"
"To Validate the Smoke Tests for SDK Application","To Validate the Go to Location","ERROR","2024-08-20T07:50:18.728+10:00","0.0","24.52"
"To Validate the Sanity Tests for SDK Application","To Validate the MAIN MenuBar Content","ERROR","2024-08-20T06:31:03.465+10:00","0.0","204.31"
"To Validate the Smoke Tests for SDK Application","To Validate the Ruler","ERROR","2024-08-20T11:48:02.802+10:00","0.0","50.1"
"To Validate the Smoke Tests for SDK Application","To Validate the Ruler","ERROR","2024-08-20T07:49:28.376+10:00","0.0","50.16"
"To Validate the Smoke Tests for SDK Application","To Validate the Share","ERROR","2024-08-20T07:51:19.554+10:00","0.0","43.34"
"To Validate the Smoke Tests for SDK Application","To Validate the Share","ERROR","2024-08-20T11:49:51.951+10:00","0.0","43.25"
"To Validate the Sanity Tests for SDK Application","To Validate the SpatialFilter","ERROR","2024-08-20T07:13:25.403+10:00","0.0","118.57"
"To Validate the Sanity Tests for SDK Application","To Validate the SpatialFilter","ERROR","2024-08-20T11:11:55.536+10:00","0.0","117.92"
"To Validate the Sanity Tests for SDK Application","To Validate the Splicing","ERROR","2024-08-20T06:54:28.196+10:00","0.0","120.23"
"To Validate the Sanity Tests for SDK Application","To Validate the Splicing","ERROR","2024-08-20T10:53:11.358+10:00","0.0","118.58"
"To Validate the Sanity Tests for SDK Application","To Validate the Trace from Main Menu","ERROR","2024-08-20T06:46:59.268+10:00","0.0","168.93"
"To Validate the Sanity Tests for SDK Application","To Validate the Trace from Main Menu","ERROR","2024-08-20T10:45:51.532+10:00","0.0","164.28"
"To Validate the Smoke Tests for SDK Application","To validate the LogOut icon","ERROR","2024-08-20T12:00:12.821+10:00","0.0","1.99"
"To Validate the Smoke Tests for SDK Application","Validating Theming for Graduated(Range)","ERROR","2024-08-20T11:58:14.639+10:00","0.0","118.1"
