"Story","Title","Result","Date","Stability","Duration (s)"
"To Validate the Smoke Tests for SDK Application","To Validate the Boundary Address Report from Report Manager","SUCCESS","2024-08-20T07:36:59.401+10:00","0.0","136.08"
"To Validate the Smoke Tests for SDK Application","To Validate the Class Diagram Report from Report Manager","SUCCESS","2024-08-20T07:41:33.588+10:00","0.0","137.14"
"To Validate the Smoke Tests for SDK Application","To Validate the Equipment Report from Report Manager","SUCCESS","2024-08-20T07:23:29.188+10:00","0.0","142.42"
"To Validate the Smoke Tests for SDK Application","To Validate the Home Passed Report from Report Manager","SUCCESS","2024-08-20T07:39:15.683+10:00","0.0","137.72"
"To Validate the Smoke Tests for SDK Application","To Validate the OSM and GOOGLE Place","SUCCESS","2024-08-20T07:56:14.415+10:00","0.0","42.93"
"To Validate the Smoke Tests for SDK Application","To Validate the OTDR Report from Report Manager","SUCCESS","2024-08-20T07:46:18.828+10:00","0.0","154.08"
"To Validate the Smoke Tests for SDK Application","To Validate the Previous View and Next View","SUCCESS","2024-08-20T07:52:47.822+10:00","0.0","35.95"
"To Validate the Smoke Tests for SDK Application","To Validate the Query Report from Report Manager","SUCCESS","2024-08-20T07:43:50.874+10:00","0.0","147.8"
"To Validate the Smoke Tests for SDK Application","To Validate the Rf Power Trace Diagram from Report Manager","SUCCESS","2024-08-20T07:21:13.054+10:00","0.0","136.01"
"To Validate the Smoke Tests for SDK Application","To Validate the Set Master Circuit on Fibers","SUCCESS","2024-08-20T07:54:03.385+10:00","0.0","91.56"
"To Validate the Smoke Tests for SDK Application","To Validate the Splice Connection Report from Report Manager","SUCCESS","2024-08-20T07:18:59.590+10:00","0.0","132.42"
"To Validate the Smoke Tests for SDK Application","To Validate the Splice Tray Report from Report Manager","SUCCESS","2024-08-20T07:25:51.695+10:00","0.0","133.39"
"To Validate the Smoke Tests for SDK Application","To Validate the Trace Report from Report Manager","SUCCESS","2024-08-20T07:28:05.157+10:00","0.0","148.51"
"To Validate the Smoke Tests for SDK Application","To Validate the Trace Schematic Report from Report Manager","SUCCESS","2024-08-20T07:30:33.769+10:00","0.0","147.78"
"To Validate the Smoke Tests for SDK Application","To Validate the Trace Summary Report from Report Manager","SUCCESS","2024-08-20T07:33:01.690+10:00","0.0","148.34"
"To Validate the Smoke Tests for SDK Application","To test the Login functionality of SDK","SUCCESS","2024-08-20T07:55:38.136+10:00","0.0","36.16"
"To Validate the Smoke Tests for SDK Application","To validate the LogOut icon","SUCCESS","2024-08-20T07:55:35.012+10:00","0.0","3.01"
