"Story","Title","Result","Date","Stability","Duration (s)"
"To Validate the Smoke Tests for SDK Application","To Validate the Blown Fiber Schematic Report from Report Manager","SUCCESS","2024-08-20T11:33:32.160+10:00","0.0","139.39"
"To Validate the Smoke Tests for SDK Application","To Validate the Blown Fiber Schematic Report from Report Manager","ERROR","2024-08-20T07:35:30.150+10:00","0.0","88.93"
"To Validate the Smoke Tests for SDK Application","To Validate the Boundary Address Report from Report Manager","SUCCESS","2024-08-20T07:36:59.401+10:00","0.0","136.08"
"To Validate the Smoke Tests for SDK Application","To Validate the Boundary Address Report from Report Manager","SUCCESS","2024-08-20T11:35:51.643+10:00","0.0","133.9"
"To Validate the Smoke Tests for SDK Application","To Validate the Class Diagram Report from Report Manager","SUCCESS","2024-08-20T11:40:19.835+10:00","0.0","133.66"
"To Validate the Smoke Tests for SDK Application","To Validate the Class Diagram Report from Report Manager","SUCCESS","2024-08-20T07:41:33.588+10:00","0.0","137.14"
"To Validate the Smoke Tests for SDK Application","To Validate the Clear Option","ERROR","2024-08-20T07:52:02.976+10:00","0.0","6.81"
"To Validate the Smoke Tests for SDK Application","To Validate the Clear Option","ERROR","2024-08-20T11:50:35.359+10:00","0.0","6.74"
"To Validate the Smoke Tests for SDK Application","To Validate the Equipment Report from Report Manager","SUCCESS","2024-08-20T07:23:29.188+10:00","0.0","142.42"
"To Validate the Smoke Tests for SDK Application","To Validate the Equipment Report from Report Manager","SUCCESS","2024-08-20T11:21:47.010+10:00","0.0","139.74"
"To Validate the Smoke Tests for SDK Application","To Validate the Go to Location","ERROR","2024-08-20T11:48:53.128+10:00","0.0","24.34"
"To Validate the Smoke Tests for SDK Application","To Validate the Go to Location","ERROR","2024-08-20T07:50:18.728+10:00","0.0","24.52"
"To Validate the Smoke Tests for SDK Application","To Validate the Home Passed Report from Report Manager","SUCCESS","2024-08-20T07:39:15.683+10:00","0.0","137.72"
"To Validate the Smoke Tests for SDK Application","To Validate the Home Passed Report from Report Manager","SUCCESS","2024-08-20T11:38:05.633+10:00","0.0","134.1"
"To Validate the Smoke Tests for SDK Application","To Validate the OSM and GOOGLE Place","SUCCESS","2024-08-20T11:54:36.746+10:00","0.0","39.43"
"To Validate the Smoke Tests for SDK Application","To Validate the OSM and GOOGLE Place","SUCCESS","2024-08-20T07:56:14.415+10:00","0.0","42.93"
"To Validate the Smoke Tests for SDK Application","To Validate the OTDR Report from Report Manager","SUCCESS","2024-08-20T07:46:18.828+10:00","0.0","154.08"
"To Validate the Smoke Tests for SDK Application","To Validate the OTDR Report from Report Manager","SUCCESS","2024-08-20T11:44:58.877+10:00","0.0","150.69"
"To Validate the Smoke Tests for SDK Application","To Validate the Previous View and Next View","SUCCESS","2024-08-20T07:52:47.822+10:00","0.0","35.95"
"To Validate the Smoke Tests for SDK Application","To Validate the Previous View and Next View","SUCCESS","2024-08-20T11:51:18.331+10:00","0.0","35.6"
"To Validate the Smoke Tests for SDK Application","To Validate the Query Report from Report Manager","SUCCESS","2024-08-20T11:42:33.599+10:00","0.0","145.17"
"To Validate the Smoke Tests for SDK Application","To Validate the Query Report from Report Manager","SUCCESS","2024-08-20T07:43:50.874+10:00","0.0","147.8"
"To Validate the Smoke Tests for SDK Application","To Validate the Rf Power Trace Diagram from Report Manager","SUCCESS","2024-08-20T11:19:32.957+10:00","0.0","133.96"
"To Validate the Smoke Tests for SDK Application","To Validate the Rf Power Trace Diagram from Report Manager","SUCCESS","2024-08-20T07:21:13.054+10:00","0.0","136.01"
"To Validate the Smoke Tests for SDK Application","To Validate the Ruler","ERROR","2024-08-20T11:48:02.802+10:00","0.0","50.1"
"To Validate the Smoke Tests for SDK Application","To Validate the Ruler","ERROR","2024-08-20T07:49:28.376+10:00","0.0","50.16"
"To Validate the Smoke Tests for SDK Application","To Validate the Set Master Circuit on Fibers","SUCCESS","2024-08-20T11:52:31.196+10:00","0.0","88.37"
"To Validate the Smoke Tests for SDK Application","To Validate the Set Master Circuit on Fibers","SUCCESS","2024-08-20T07:54:03.385+10:00","0.0","91.56"
"To Validate the Smoke Tests for SDK Application","To Validate the Share","ERROR","2024-08-20T07:51:19.554+10:00","0.0","43.34"
"To Validate the Smoke Tests for SDK Application","To Validate the Share","ERROR","2024-08-20T11:49:51.951+10:00","0.0","43.25"
"To Validate the Smoke Tests for SDK Application","To Validate the Splice Connection Report from Report Manager","SUCCESS","2024-08-20T11:17:22.579+10:00","0.0","129.47"
"To Validate the Smoke Tests for SDK Application","To Validate the Splice Connection Report from Report Manager","SUCCESS","2024-08-20T07:18:59.590+10:00","0.0","132.42"
"To Validate the Smoke Tests for SDK Application","To Validate the Splice Tray Report from Report Manager","SUCCESS","2024-08-20T07:25:51.695+10:00","0.0","133.39"
"To Validate the Smoke Tests for SDK Application","To Validate the Splice Tray Report from Report Manager","SUCCESS","2024-08-20T11:24:06.811+10:00","0.0","128.86"
"To Validate the Smoke Tests for SDK Application","To Validate the Trace Report from Report Manager","SUCCESS","2024-08-20T07:28:05.157+10:00","0.0","148.51"
"To Validate the Smoke Tests for SDK Application","To Validate the Trace Report from Report Manager","SUCCESS","2024-08-20T11:26:15.745+10:00","0.0","145.31"
"To Validate the Smoke Tests for SDK Application","To Validate the Trace Schematic Report from Report Manager","SUCCESS","2024-08-20T07:30:33.769+10:00","0.0","147.78"
"To Validate the Smoke Tests for SDK Application","To Validate the Trace Schematic Report from Report Manager","SUCCESS","2024-08-20T11:28:41.151+10:00","0.0","145.51"
"To Validate the Smoke Tests for SDK Application","To Validate the Trace Summary Report from Report Manager","SUCCESS","2024-08-20T07:33:01.690+10:00","0.0","148.34"
"To Validate the Smoke Tests for SDK Application","To Validate the Trace Summary Report from Report Manager","SUCCESS","2024-08-20T11:31:06.769+10:00","0.0","145.29"
"To Validate the Smoke Tests for SDK Application","To test the Login functionality of SDK","SUCCESS","2024-08-20T07:55:38.136+10:00","0.0","36.16"
"To Validate the Smoke Tests for SDK Application","To test the Login functionality of SDK","SUCCESS","2024-08-20T11:57:40.145+10:00","0.0","34.43"
"To Validate the Smoke Tests for SDK Application","To validate the LogOut icon","SUCCESS","2024-08-20T07:55:35.012+10:00","0.0","3.01"
"To Validate the Smoke Tests for SDK Application","To validate the LogOut icon","ERROR","2024-08-20T12:00:12.821+10:00","0.0","1.99"
"To Validate the Smoke Tests for SDK Application","Validating Theming for Graduated","SUCCESS","2024-08-20T11:55:53.386+10:00","0.0","103.35"
"To Validate the Smoke Tests for SDK Application","Validating Theming for Graduated(Range)","ERROR","2024-08-20T11:58:14.639+10:00","0.0","118.1"
"To Validate the Smoke Tests for SDK Application","Validating Theming for Rules","SUCCESS","2024-08-06T12:05:28.502+10:00","0.0","65.91"
